dept/pgm,number,course title,area
ANTHRO,213,Human Origins,I
ANTHRO,309,Human Osteology,I
ANTHRO,312,Human Population Biology,I
ANTHRO,316,Forensic Anthropology,I
ANTHRO,317,Human Evolution,I
ANTHRO,359,The Human Microbiome and Health,I
ASTRON,101,Modern Cosmology,I
ASTRON,102,Milky Way Galaxy,I
ASTRON,103,Solar System,I
ASTRON,106,A Brief Journey through the Invisible Universe (taught also as PHYSICS 106),I
ASTRON,111,Introduction to Astrobiology,I
ASTRON,120,Highlights of Astronomy,I
ASTRON,220-1,Introduction to Astrophysics I: Life Cycle of Stars and Planets,I
ASTRON,220-2,Introduction to Astrophysics II: Galactic Evolution and Cosmology,I
ASTRON,305,Basics of Radio Astronomy,I
ASTRON,390,Current Topics in Astronomy,I
BIOL SCI,100,Introduction to Biological Sciences at Northwestern (course for participants in Bio&ChemEXCEL),I
BIOL SCI,103,Diversity of Life,I
BIOL SCI,104,Plant-People Interactions,I
BIOL SCI,109,The Nature of Plants,I
BIOL SCI,150,Human Genetics,I
BIOL SCI,160,Human Reproduction,I
BIOL SCI,164,Basic Genetics & Evolution,I
BIOL SCI,201,Molecular Biology,I
BIOL SCI,202,Cell Biology,I
BIOL SCI,203,Genetics and Evolution,I
BIOL SCI,301,Principles of Biochemistry,I
BIOL SCI,307,"Brain Structure, Function, and Evolution",I
BIOL SCI,310,Human Physiology,I
BIOL SCI,333,Plant-Animal Interactions,I
BIOL SCI,354,Quantitative Analysis of Biology,I
BIOL SCI,359,Quantitative Experimentation in Biology,I
BIOL SCI,377,The Human Microbiome,I
BIOL SCI,381,Stem Cells and Regengeration,I
BIOL SCI,393,Human Genomics,I
CHEM,131,General Chemistry 1,I
CHEM,132,General Chemistry 2,I
CHEM,151,Accelerated General Chemistry 1,I
CHEM,152,Accelerated General Chemistry 2,I
CHEM,171,Advanced General Inorganic Chemistry,I
CHEM,172,Advanced General Physical Chemistry,I
CHEM,201,Chemistry of Nature & Culture,I
CHEM,212-1,Organic Chemistry (primarily for chemistry majors and ISP students),I
CHEM,212-2,Organic Chemistry (primarily for chemistry majors and ISP students),I
CHEM,212-3,Organic Chemistry (primarily for chemistry majors and ISP students),I
CHEM,215-1,Introductory Organic Chemistry I,I
CHEM,215-2,Introductory Organic Chemistry II,I
CHEM,215-3,Advanced Organic Chemistry,I
CHEM,360,Nanopatterning,I
CIV ENV,203,Earth in the Anthropocene,I
COG SCI,210,Language & the Brain,I
CSD,112,Scientific Exploration of Communication,I
CSD,202,Neurobiology of Communication,I
CSD,301,Anatomy and Physiology of the Vocal Mechanism,I
CSD,302,Anatomy and Physiology of the Peripheral Hearing Mechanism,I
CSD,303,Brain and Cognition; with PSYCH 327,"I,III"
CSD,305,Phonetics,"I,III"
CSD,310,Biological Foundations of Speech and Music,I
CSD,318,Introduction to Audiology,I
EARTH,101,Earth Science for the 21st Century,I
EARTH,105,Climate Catastrophes in Earth History,I
EARTH,106,"The Ocean, The Atmosphere, & Our Climate",I
EARTH,114,Evolution & the Scientific Method,I
EARTH,180,Fantasy Worlds - How to Build Your Own Planet,I
EARTH,201,Earth Systems Revealed,I
EARTH,202,Earth's Interior,I
EARTH,203,Earth System History,I
EARTH,300,Earth and Planetary Materials,I
EARTH,301,Petrology: Evolution of Crustal and Mantle Rocks,I
EARTH,310,Aqueous Geochemistry,I
EARTH,314,Organic Geochemistry,I
EARTH,323,Seismology & Earth Strucutre,I
EARTH,324,Earthquakes and Tectonics,I
EARTH,340,Physics of Weather and Climate,I
EARTH,341,Quaternary Climate Change: Ice Ages to the Age of Oil,I
EARTH,342,Contemporary Energy and Climate Change,I
EARTH,343,Earth System Modeling,I
EARTH,370,Geobiology,I
EARTH,371,Biogeochemistry,I
ENVR SCI,201,Earth: A Habitable Planet,I
ENVR SCI,202,The Health of the Biosphere,I
ENVR SCI,203,Humans and the Environment,I
GEN LA,280-1,Residence-Linked Seminar - I,I
GEOG,211,World Biogeography,I
GEOG,235,Atmosphere and Climate,I
GEOG,341,Principles of Cartography,I
GEOG,343,Geographic Information Systems,I
GBL HLTH,308,Global Health in Human History,"I,IV"
ISEN,220,Introduction to Energy Systems for the Twenty-First Century,I
LING,250,Sound Patterns in Human Language,I
LING,350,Fundamentals of Laboratory Phonology,I
MATH,327,Mechanics for Mathematicians,"I,II"
NEUROSCI,202,Cellular and Molecular Neuroscience,I
NEUROSCI,206,Systems and Behavioral Neuroscience,I
NEUROSCI,320,Animal Behavior,I
NEUROSCI,360,Neuroscience of Brain Disorders,I
NEUROSCI,377,Neurobiology of Sensation and Perception,I
PHYSICS,103,Ideas of Physics,I
PHYSICS,105,"Music, Sound, Timbre",I
PHYSICS,106,A Brief Journey through the Invisible Universe (taught also as ASTRON 106),I
PHYSICS,125-1,General Physics for ISP,I
PHYSICS,125-2,General Physics for ISP,I
PHYSICS,125-3,General Physics for ISP,I
PHYSICS,130-1,College Physics,I
PHYSICS,130-2,College Physics,I
PHYSICS,130-3,College Physics,I
PHYSICS,135-1,General Physics,I
PHYSICS,135-2,General Physics,I
PHYSICS,135-3,General Physics,I
PHYSICS,140-1,Fundamentals of Physics,I
PHYSICS,140-2,Fundamentals of Physics,I
PHYSICS,140-3,Fundamentals of Physics,I
PHYSICS,239,Foundations of Modern Physics,I
PHYSICS,312,Scalar and Vector Field Methods in Physics,I
PHYSICS,335,Physics of Magic,I
PHYSICS,357,Optics Laboratory,I
PSYCH,221,Introduction to Neuroscience,I
PSYCH,320-0,Intermediate Neuroscience,I
PSYCH,324,Perception,"I,III"
PSYCH,325-0,Selected Topics in Neuroscience and Psychophysiology,I
PSYCH,327,Brain and Cognition; with CSD 303,"I,III"
PSYCH,328,Brain Damage & the Mind,"I,III"
PSYCH,336,Consciousness,"I,III"
PSYCH,374,Human Memory,"I,III"
PSYCH,378,Images of Cognition,"I,III"
PSYCH,379,Neuroscience & Behavior Laboratory,I
AF AM ST,215,Introduction to Black Social & Political Life,"III,IV,V"
AF AM ST,218,Asian-Black Historical Relations in the U.S.; with ASIAN AM 218,"III,IV"
AF AM ST,236,Introduction to African American Studies,III
AF AM ST,250,"Race, Class, & Gender",III
AF AM ST,251,The Mixed-Race Experience; with ASIAN AM 251,III
AF AM ST,319,"Race, Ethnicity, & the American Constitution","III,V"
AF AM ST,320,The Social Meaning of Race,III
AF AM ST,325,Education for Black Liberation,III
AF AM ST,327,Politics of Black Popular Culture,"III,VI"
AF AM ST,330,Black Women in 20th Century US,"III,IV"
AF AM ST,334,Gender & Black Masculinity,III
AF AM ST,339,Unsettling Whiteness,"III,IV"
AF AM ST,342,Comparative Slavery,"III,IV,V"
AF AM ST,355,Diaspora Studies,III
