,dept/pgm,number,course title,area,class size,date,start time,end time
0,ANTHRO,213,Human Origins,I,200,MoWeFr,11:00,11:50
1,ANTHRO,309,Human Osteology,I,20,TuTh,16:00,17:20
2,ANTHRO,312,Human Population Biology,I,200,MoWeFr,11:00,11:50
3,ANTHRO,316,Forensic Anthropology,I,20,TuTh,09:00,10:20
4,ANTHRO,317,Human Evolution,I,100,TuTh,14:00,15:20
5,ANTHRO,359,The Human Microbiome and Health,I,200,TuTh,11:00,12:20
6,ASTRON,101,Modern Cosmology,I,50,MoWe,14:00,15:20
7,ASTRON,102,Milky Way Galaxy,I,50,MoWeFr,14:00,14:50
8,ASTRON,103,Solar System,I,100,MoWe,14:00,15:20
9,ASTRON,106,A Brief Journey through the Invisible Universe (taught also as PHYSICS 106),I,20,MoWe,14:00,15:20
10,ASTRON,111,Introduction to Astrobiology,I,50,MoWeFr,13:00,13:50
11,ASTRON,120,Highlights of Astronomy,I,50,TuTh,12:00,13:20
12,ASTRON,220-1,Introduction to Astrophysics I: Life Cycle of Stars and Planets,I,50,MoWe,13:00,14:20
13,ASTRON,220-2,Introduction to Astrophysics II: Galactic Evolution and Cosmology,I,200,TuTh,10:00,11:20
14,ASTRON,305,Basics of Radio Astronomy,I,20,TuTh,15:00,14:20
15,ASTRON,390,Current Topics in Astronomy,I,50,TuTh,10:00,11:20
16,BIOL SCI,100,Introduction to Biological Sciences at Northwestern (course for participants in Bio&ChemEXCEL),I,50,MoWe,16:00,17:20
17,BIOL SCI,103,Diversity of Life,I,50,MoWeFr,14:00,14:50
18,BIOL SCI,104,Plant-People Interactions,I,200,TuTh,11:00,12:20
19,BIOL SCI,109,The Nature of Plants,I,20,MoWe,13:00,14:20
20,BIOL SCI,150,Human Genetics,I,20,TuTh,14:00,15:20
21,BIOL SCI,160,Human Reproduction,I,50,TuTh,08:00,09:20
22,BIOL SCI,164,Basic Genetics & Evolution,I,200,TuTh,10:00,11:20
23,BIOL SCI,201,Molecular Biology,I,50,MoWeFr,09:00,09:50
24,BIOL SCI,202,Cell Biology,I,50,MoWeFr,08:00,08:50
25,BIOL SCI,203,Genetics and Evolution,I,100,MoWe,09:00,10:20
26,BIOL SCI,301,Principles of Biochemistry,I,200,MoWe,12:00,13:20
27,BIOL SCI,307,"Brain Structure, Function, and Evolution",I,200,MoWeFr,10:00,10:50
28,BIOL SCI,310,Human Physiology,I,20,MoWeFr,11:00,11:50
29,BIOL SCI,333,Plant-Animal Interactions,I,20,TuTh,13:00,14:20
30,BIOL SCI,354,Quantitative Analysis of Biology,I,100,MoWeFr,11:00,11:50
31,BIOL SCI,359,Quantitative Experimentation in Biology,I,100,TuTh,13:00,14:20
32,BIOL SCI,377,The Human Microbiome,I,100,MoWeFr,16:00,16:50
33,BIOL SCI,381,Stem Cells and Regengeration,I,20,MoWeFr,15:00,15:50
34,BIOL SCI,393,Human Genomics,I,50,TuTh,10:00,11:20
35,CHEM,131,General Chemistry 1,I,50,MoWe,08:00,09:20
36,CHEM,132,General Chemistry 2,I,100,MoWeFr,16:00,16:50
37,CHEM,151,Accelerated General Chemistry 1,I,100,TuTh,09:00,10:20
38,CHEM,152,Accelerated General Chemistry 2,I,50,MoWe,14:00,15:20
39,CHEM,171,Advanced General Inorganic Chemistry,I,50,MoWeFr,16:00,16:50
40,CHEM,172,Advanced General Physical Chemistry,I,100,MoWe,08:00,09:20
41,CHEM,201,Chemistry of Nature & Culture,I,100,MoWeFr,09:00,09:50
42,CHEM,212-1,Organic Chemistry (primarily for chemistry majors and ISP students),I,50,MoWeFr,11:00,11:50
43,CHEM,212-2,Organic Chemistry (primarily for chemistry majors and ISP students),I,100,MoWeFr,16:00,16:50
44,CHEM,212-3,Organic Chemistry (primarily for chemistry majors and ISP students),I,50,TuTh,14:00,15:20
45,CHEM,215-1,Introductory Organic Chemistry I,I,20,MoWeFr,16:00,16:50
46,CHEM,215-2,Introductory Organic Chemistry II,I,20,MoWe,16:00,17:20
47,CHEM,215-3,Advanced Organic Chemistry,I,20,MoWe,16:00,17:20
48,CHEM,360,Nanopatterning,I,100,MoWeFr,11:00,11:50
49,CIV ENV,203,Earth in the Anthropocene,I,200,MoWe,12:00,13:20
50,COG SCI,210,Language & the Brain,I,200,MoWe,09:00,10:20
51,CSD,112,Scientific Exploration of Communication,I,20,MoWe,08:00,09:20
52,CSD,202,Neurobiology of Communication,I,100,TuTh,13:00,14:20
53,CSD,301,Anatomy and Physiology of the Vocal Mechanism,I,200,MoWe,11:00,12:20
54,CSD,302,Anatomy and Physiology of the Peripheral Hearing Mechanism,I,100,MoWe,16:00,17:20
